cluster,complaint_a,complaint_b,cosine_similarity,pearson_correlation,euclidean_distance,above_threshold
unconsciousness,unconscious collapse,achanak behoshi,0.6752,0.6752,3.1295,True
unconsciousness,unconscious collapse,gir kar behosh,0.6632,0.6632,3.1312,True
unconsciousness,unconscious collapse,collapse unconscious,0.9841,0.9841,0.7639,True
unconsciousness,unconscious collapse,collapse,0.6969,0.6969,4.4737,True
unconsciousness,behoshi aur hosh kam,achanak behoshi,0.9277,0.9277,1.3642,True
unconsciousness,behoshi aur hosh kam,gir kar behosh,0.9246,0.9246,1.4857,True
unconsciousness,behoshi aur hosh kam,collapse unconscious,0.6748,0.6748,3.0738,True
unconsciousness,behoshi aur hosh kam,collapse,0.2652,0.2652,6.3347,False
unconsciousness,achanak behoshi,gir kar behosh,0.9425,0.9425,1.1593,True
unconsciousness,achanak behoshi,collapse unconscious,0.7469,0.7469,2.6521,True
unconsciousness,achanak behoshi,collapse,0.2907,0.2907,6.1598,False
unconsciousness,gir kar behosh,collapse unconscious,0.7454,0.7454,2.6288,True
unconsciousness,gir kar behosh,collapse,0.3555,0.3555,5.8621,False
unconsciousness,collapse unconscious,collapse,0.7073,0.7073,4.4318,True
fever,bukhar aur body pain do din se,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,0.4612,0.4613,2.816,False
fever,bukhar aur body pain do din se,gala kharab aur bukhar teen din se,0.8723,0.8723,1.3818,True
fever,bukhar aur body pain do din se,fever aur rash body par,0.5252,0.5252,2.98,True
fever,bukhar aur body pain do din se,khansi aur bukhar 4 din se,0.7998,0.7998,1.5925,True
fever,bukhar aur body pain do din se,sore throat aur mild fever,0.3125,0.3126,3.9526,False
fever,bukhar aur body pain do din se,viral fever fatigue,0.1964,0.1964,4.8207,False
fever,bukhar aur body pain do din se,cough fever 5 days,0.5245,0.5245,2.7551,True
fever,bukhar aur body pain do din se,fever typhoid suspect,0.2094,0.2094,4.2237,False
fever,bukhar aur body pain do din se,fever rash dengue,0.247,0.2471,4.9632,False
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,gala kharab aur bukhar teen din se,0.5273,0.5273,2.7906,True
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,fever aur rash body par,0.7094,0.7094,2.4543,True
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,khansi aur bukhar 4 din se,0.67,0.67,2.2465,True
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,sore throat aur mild fever,0.3032,0.3032,4.1403,False
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,viral fever fatigue,0.0998,0.0998,5.2393,False
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,cough fever 5 days,0.6553,0.6554,2.4916,True
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,fever typhoid suspect,0.3364,0.3364,4.069,False
fever,typhoid ka ilaaj chal raha hai bukhar utar nahi raha,fever rash dengue,0.3553,0.3553,4.7768,False
fever,gala kharab aur bukhar teen din se,fever aur rash body par,0.5148,0.5149,3.1143,True
fever,gala kharab aur bukhar teen din se,khansi aur bukhar 4 din se,0.8247,0.8247,1.6147,True
fever,gala kharab aur bukhar teen din se,sore throat aur mild fever,0.2192,0.2192,4.3281,False
fever,gala kharab aur bukhar teen din se,viral fever fatigue,0.1561,0.1561,5.0552,False
fever,gala kharab aur bukhar teen din se,cough fever 5 days,0.5618,0.5618,2.7727,True
fever,gala kharab aur bukhar teen din se,fever typhoid suspect,0.1764,0.1764,4.4607,False
fever,gala kharab aur bukhar teen din se,fever rash dengue,0.182,0.182,5.2429,False
fever,fever aur rash body par,khansi aur bukhar 4 din se,0.7165,0.7166,2.3829,True
fever,fever aur rash body par,sore throat aur mild fever,0.3462,0.3462,4.2359,False
fever,fever aur rash body par,viral fever fatigue,0.0948,0.0948,5.5049,False
fever,fever aur rash body par,cough fever 5 days,0.7145,0.7145,2.4717,True
fever,fever aur rash body par,fever typhoid suspect,0.3075,0.3076,4.3774,False
fever,fever aur rash body par,fever rash dengue,0.5271,0.5271,4.2898,True
fever,khansi aur bukhar 4 din se,sore throat aur mild fever,0.2949,0.2949,4.029,False
fever,khansi aur bukhar 4 din se,viral fever fatigue,0.1443,0.1443,4.9796,False
fever,khansi aur bukhar 4 din se,cough fever 5 days,0.795,0.795,1.871,True
fever,khansi aur bukhar 4 din se,fever typhoid suspect,0.2375,0.2375,4.1949,False
fever,khansi aur bukhar 4 din se,fever rash dengue,0.3535,0.3536,4.7096,False
fever,sore throat aur mild fever,viral fever fatigue,0.2727,0.2728,5.2228,False
fever,sore throat aur mild fever,cough fever 5 days,0.3312,0.3312,4.1303,False
fever,sore throat aur mild fever,fever typhoid suspect,0.3304,0.3304,4.5951,False
fever,sore throat aur mild fever,fever rash dengue,0.4068,0.4068,4.928,False
fever,viral fever fatigue,cough fever 5 days,0.2089,0.2089,5.0166,False
fever,viral fever fatigue,fever typhoid suspect,0.1572,0.1572,5.6326,False
fever,viral fever fatigue,fever rash dengue,0.3469,0.3469,5.5009,False
fever,cough fever 5 days,fever typhoid suspect,0.2492,0.2492,4.3872,False
fever,cough fever 5 days,fever rash dengue,0.3755,0.3755,4.7553,False
fever,fever typhoid suspect,fever rash dengue,0.3341,0.3342,5.2229,False
abdominal_pain,pregnancy ke douran lower abdomen pain,lower abdomen pain aur nausea,0.8899,0.89,2.008,True
abdominal_pain,pregnancy ke douran lower abdomen pain,pregnancy 7 months abdominal pain,0.6137,0.6137,4.2589,True
abdominal_pain,pregnancy ke douran lower abdomen pain,abdominal cramps severe,0.2978,0.2978,5.4043,False
abdominal_pain,pregnancy ke douran lower abdomen pain,abdominal pain nausea,0.4823,0.4823,4.5701,False
abdominal_pain,pregnancy ke douran lower abdomen pain,abdominal cramps,0.3706,0.3706,5.2801,False
abdominal_pain,pregnancy ke douran lower abdomen pain,abdominal pain,0.5641,0.5641,5.3162,True
abdominal_pain,pregnancy ke douran lower abdomen pain,abdominal cramps nausea,0.3881,0.3881,4.5501,False
abdominal_pain,pregnancy ke douran lower abdomen pain,pet mein jalan aur dard,0.4633,0.4633,3.5199,False
abdominal_pain,pregnancy ke douran lower abdomen pain,hamal ke douran pait dard,0.5412,0.5412,3.1152,True
abdominal_pain,lower abdomen pain aur nausea,pregnancy 7 months abdominal pain,0.6361,0.6361,4.2566,True
abdominal_pain,lower abdomen pain aur nausea,abdominal cramps severe,0.3513,0.3513,5.5178,False
abdominal_pain,lower abdomen pain aur nausea,abdominal pain nausea,0.648,0.648,3.994,True
abdominal_pain,lower abdomen pain aur nausea,abdominal cramps,0.4047,0.4047,5.41,False
abdominal_pain,lower abdomen pain aur nausea,abdominal pain,0.61,0.61,5.12,True
abdominal_pain,lower abdomen pain aur nausea,abdominal cramps nausea,0.5435,0.5435,4.2409,True
abdominal_pain,lower abdomen pain aur nausea,pet mein jalan aur dard,0.5014,0.5014,3.8954,True
abdominal_pain,lower abdomen pain aur nausea,hamal ke douran pait dard,0.4877,0.4877,3.8474,False
abdominal_pain,pregnancy 7 months abdominal pain,abdominal cramps severe,0.66,0.66,4.3828,True
abdominal_pain,pregnancy 7 months abdominal pain,abdominal pain nausea,0.7799,0.7799,3.4734,True
abdominal_pain,pregnancy 7 months abdominal pain,abdominal cramps,0.7036,0.7036,4.1591,True
abdominal_pain,pregnancy 7 months abdominal pain,abdominal pain,0.8336,0.8336,3.5565,True
abdominal_pain,pregnancy 7 months abdominal pain,abdominal cramps nausea,0.7261,0.7261,3.7493,True
abdominal_pain,pregnancy 7 months abdominal pain,pet mein jalan aur dard,0.1612,0.1612,5.7848,False
abdominal_pain,pregnancy 7 months abdominal pain,hamal ke douran pait dard,0.1917,0.1917,5.5366,False
abdominal_pain,abdominal cramps severe,abdominal pain nausea,0.6806,0.6806,4.1163,True
abdominal_pain,abdominal cramps severe,abdominal cramps,0.9721,0.9721,1.272,True
abdominal_pain,abdominal cramps severe,abdominal pain,0.7435,0.7435,4.3297,True
abdominal_pain,abdominal cramps severe,abdominal cramps nausea,0.8695,0.8695,2.5913,True
abdominal_pain,abdominal cramps severe,pet mein jalan aur dard,0.0128,0.0128,6.0885,False
abdominal_pain,abdominal cramps severe,hamal ke douran pait dard,0.0,-0.0331,5.9743,False
abdominal_pain,abdominal pain nausea,abdominal cramps,0.7103,0.7103,3.9985,True
abdominal_pain,abdominal pain nausea,abdominal pain,0.9068,0.9068,2.8278,True
abdominal_pain,abdominal pain nausea,abdominal cramps nausea,0.8978,0.8978,2.2216,True
abdominal_pain,abdominal pain nausea,pet mein jalan aur dard,0.0865,0.0865,5.7163,False
abdominal_pain,abdominal pain nausea,hamal ke douran pait dard,0.0545,0.0545,5.5874,False
abdominal_pain,abdominal cramps,abdominal pain,0.798,0.798,3.8901,True
abdominal_pain,abdominal cramps,abdominal cramps nausea,0.8881,0.8882,2.51,True
abdominal_pain,abdominal cramps,pet mein jalan aur dard,0.0689,0.0689,6.0845,False
abdominal_pain,abdominal cramps,hamal ke douran pait dard,0.0302,0.0302,5.9803,False
abdominal_pain,abdominal pain,abdominal cramps nausea,0.8196,0.8196,3.7666,True
abdominal_pain,abdominal pain,pet mein jalan aur dard,0.1275,0.1275,6.8004,False
abdominal_pain,abdominal pain,hamal ke douran pait dard,0.0983,0.0983,6.7298,False
abdominal_pain,abdominal cramps nausea,pet mein jalan aur dard,0.0672,0.0672,5.3324,False
abdominal_pain,abdominal cramps nausea,hamal ke douran pait dard,0.0193,0.0193,5.2101,False
abdominal_pain,pet mein jalan aur dard,hamal ke douran pait dard,0.8751,0.8751,1.5308,True
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,roadside khana khaya tha ab ulti aur dast lag gaye,0.5863,0.5863,3.3427,True
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,food poisoning vomiting aur dehydration,0.2947,0.2947,4.6228,False
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,vomiting aur dehydration,0.5235,0.5236,3.2904,True
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,food poisoning loose motions,0.1455,0.1456,5.6942,False
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,vomiting pregnancy early,0.4659,0.4659,3.7517,False
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,vomiting dehydration,0.4996,0.4997,3.4316,False
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,vomiting pregnancy,0.6043,0.6043,3.0203,True
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,vomiting,0.4959,0.4959,3.6163,False
vomiting_diarrhea,ulta raha hai subah se pait kharab hai,hamal ke douran ulti,0.6511,0.6511,2.8051,True
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,food poisoning vomiting aur dehydration,0.3379,0.3379,4.4587,False
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,vomiting aur dehydration,0.5205,0.5206,3.2728,True
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,food poisoning loose motions,0.1116,0.1117,5.7787,False
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,vomiting pregnancy early,0.4876,0.4876,3.653,False
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,vomiting dehydration,0.5123,0.5123,3.3637,True
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,vomiting pregnancy,0.5963,0.5963,3.0221,True
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,vomiting,0.5343,0.5343,3.455,True
vomiting_diarrhea,roadside khana khaya tha ab ulti aur dast lag gaye,hamal ke douran ulti,0.6232,0.6232,2.859,True
vomiting_diarrhea,food poisoning vomiting aur dehydration,vomiting aur dehydration,0.4267,0.4267,3.8594,False
vomiting_diarrhea,food poisoning vomiting aur dehydration,food poisoning loose motions,0.7734,0.7734,3.1205,True
vomiting_diarrhea,food poisoning vomiting aur dehydration,vomiting pregnancy early,0.3092,0.3092,4.5054,False
vomiting_diarrhea,food poisoning vomiting aur dehydration,vomiting dehydration,0.4384,0.4384,3.8835,False
vomiting_diarrhea,food poisoning vomiting aur dehydration,vomiting pregnancy,0.4684,0.4684,3.7341,False
vomiting_diarrhea,food poisoning vomiting aur dehydration,vomiting,0.4278,0.4278,4.0791,False
vomiting_diarrhea,food poisoning vomiting aur dehydration,hamal ke douran ulti,0.4599,0.4599,3.6497,False
vomiting_diarrhea,vomiting aur dehydration,food poisoning loose motions,0.1363,0.1363,5.3416,False
vomiting_diarrhea,vomiting aur dehydration,vomiting pregnancy early,0.5854,0.5854,2.9975,True
vomiting_diarrhea,vomiting aur dehydration,vomiting dehydration,0.986,0.986,0.536,True
vomiting_diarrhea,vomiting aur dehydration,vomiting pregnancy,0.8249,0.8249,1.715,True
vomiting_diarrhea,vomiting aur dehydration,vomiting,0.8292,0.8292,1.9564,True
vomiting_diarrhea,vomiting aur dehydration,hamal ke douran ulti,0.86,0.86,1.4796,True
vomiting_diarrhea,food poisoning loose motions,vomiting pregnancy early,0.0331,0.0331,5.9636,False
vomiting_diarrhea,food poisoning loose motions,vomiting dehydration,0.1378,0.1378,5.4203,False
vomiting_diarrhea,food poisoning loose motions,vomiting pregnancy,0.1987,0.1987,5.1792,False
vomiting_diarrhea,food poisoning loose motions,vomiting,0.1268,0.1268,5.6515,False
vomiting_diarrhea,food poisoning loose motions,hamal ke douran ulti,0.1914,0.1913,5.02,False
vomiting_diarrhea,vomiting pregnancy early,vomiting dehydration,0.5999,0.5999,3.0023,True
vomiting_diarrhea,vomiting pregnancy early,vomiting pregnancy,0.7599,0.7599,2.3235,True
vomiting_diarrhea,vomiting pregnancy early,vomiting,0.7117,0.7117,2.6814,True
vomiting_diarrhea,vomiting pregnancy early,hamal ke douran ulti,0.7446,0.7446,2.394,True
vomiting_diarrhea,vomiting dehydration,vomiting pregnancy,0.83,0.8301,1.754,True
vomiting_diarrhea,vomiting dehydration,vomiting,0.8713,0.8713,1.7179,True
vomiting_diarrhea,vomiting dehydration,hamal ke douran ulti,0.8495,0.8495,1.6459,True
vomiting_diarrhea,vomiting pregnancy,vomiting,0.9107,0.9107,1.4728,True
vomiting_diarrhea,vomiting pregnancy,hamal ke douran ulti,0.9574,0.9574,0.9367,True
vomiting_diarrhea,vomiting,hamal ke douran ulti,0.8659,0.8659,1.8728,True
bleeding_wound,bike accident ke baad pair mein bleeding,pregnancy mein bleeding ho rahi hai 8 months ki hain,0.4397,0.4396,4.354,False
bleeding_wound,bike accident ke baad pair mein bleeding,hand injury cut bleeding,0.3292,0.3292,4.7244,False
bleeding_wound,bike accident ke baad pair mein bleeding,cut injury bleeding,0.4251,0.4251,4.2496,False
bleeding_wound,bike accident ke baad pair mein bleeding,hand injury bleeding,0.3363,0.3363,4.6038,False
bleeding_wound,bike accident ke baad pair mein bleeding,haath mein gehri chot aur khoon,0.4445,0.4444,4.1524,False
bleeding_wound,bike accident ke baad pair mein bleeding,chot lag kar khoon,0.2715,0.2715,4.315,False
bleeding_wound,bike accident ke baad pair mein bleeding,cut injury,0.2666,0.2667,4.9421,False
bleeding_wound,bike accident ke baad pair mein bleeding,gir gaya seedhiyon se sar phut gaya,0.2382,0.2382,4.0371,False
bleeding_wound,bike accident ke baad pair mein bleeding,khoon ki ulti hui aur seenay mein tees,0.4366,0.4365,4.1932,False
bleeding_wound,pregnancy mein bleeding ho rahi hai 8 months ki hain,hand injury cut bleeding,0.4009,0.401,4.6288,False
